order_id,basket_size,promo_flag,store_format,high_margin
1,31.72,1,C,0
2,241.17,1,A,0
3,236.82,0,C,0
4,244.25,1,C,0
5,441.33,1,C,1
6,398.61,1,D,1
7,123.33,0,A,0
8,335.18,1,B,1
9,97.1,0,D,0
10,267.44,0,A,0
11,79.91,1,B,0
12,262.15,1,A,0
13,48.49,0,A,0
14,488.53,0,B,1
15,479.98,0,B,1
16,111.51,1,C,0
17,161.31,0,A,0
18,32.1,0,D,0
19,131.48,0,B,0
20,151.76,0,C,0
21,398.45,0,B,1
22,129.08,0,C,0
23,206.11,0,D,0
24,321.35,1,D,1
25,437.2,1,D,1
26,336.83,0,A,1
27,424.76,1,B,1
28,428.7,0,B,1
29,33.21,1,A,0
30,393.34,1,D,1
31,475.43,1,C,1
32,200.05,0,C,0
33,430.24,1,B,1
34,158.02,0,C,0
35,142.13,0,C,0
36,241.58,0,A,0
37,256.49,0,C,0
38,255.1,1,A,0
39,317.3,0,D,1
40,44.68,1,D,0
41,115.41,1,C,0
42,399.08,1,D,1
43,88.94,0,C,0
44,236.37,1,A,0
45,314.91,1,D,1
46,115.0,0,B,0
47,267.3,1,B,0
48,143.56,1,D,0
49,194.86,1,C,0
50,386.69,1,D,1
51,432.03,1,C,1
52,298.85,1,D,1
53,491.92,1,A,1
54,464.27,1,D,1
55,318.05,1,B,1
56,157.05,1,D,0
57,410.29,1,A,1
58,193.62,0,D,0
59,196.69,1,B,0
60,131.98,1,B,0
61,462.62,1,D,1
62,443.25,1,D,1
63,200.08,1,D,0
64,95.02,0,D,0
65,392.02,1,C,1
66,271.64,1,C,0
67,494.04,0,B,1
68,351.37,1,B,1
69,438.49,0,D,1
70,345.39,0,A,1
71,46.12,1,D,0
72,435.48,0,B,1
73,122.97,1,C,0
74,222.0,0,A,0
75,174.91,1,A,0
76,46.09,1,B,0
77,253.62,0,C,0
78,358.18,1,A,1
79,454.91,0,D,1
80,357.88,1,B,1
81,71.63,0,C,0
82,95.65,1,B,0
83,73.13,0,A,0
84,324.2,0,A,1
85,215.28,0,B,0
86,497.42,1,B,1
87,416.96,0,B,1
88,279.44,1,A,0
89,430.44,1,B,1
90,44.97,1,A,0
91,253.64,1,B,0
92,391.32,1,B,1
93,205.81,1,C,0
94,424.21,1,D,1
95,394.51,0,C,1
96,425.28,1,B,1
97,316.24,0,B,1
98,291.05,0,D,0
99,332.22,1,C,1
100,307.47,0,A,1
101,72.24,1,D,0
102,305.64,1,B,1
103,245.67,1,B,0
104,276.84,0,A,0
105,294.16,1,A,1
106,416.07,0,A,1
107,355.05,0,B,1
108,205.18,0,D,0
109,95.95,0,B,0
110,462.55,1,A,1
111,440.08,1,D,1
112,223.73,0,C,0
113,40.8,1,C,0
114,448.93,0,A,1
115,440.22,0,C,1
116,451.42,1,D,1
117,90.33,1,C,0
118,60.44,1,A,0
119,123.57,1,C,0
120,160.27,1,A,0
121,318.81,0,B,1
122,440.66,1,D,1
123,379.88,0,B,1
124,456.3,1,D,1
125,256.29,1,A,0
126,493.64,1,C,1
127,442.86,1,D,1
128,408.52,0,A,1
129,331.47,1,A,1
130,56.89,0,D,0
131,423.59,0,B,1
132,409.02,0,B,1
133,47.71,0,A,0
134,193.2,0,D,0
135,415.98,0,D,1
136,267.17,1,D,0
137,195.53,1,A,0
138,327.37,1,B,1
139,243.46,0,B,0
140,318.79,0,D,1
141,399.89,1,A,1
142,280.13,1,B,0
143,345.91,1,B,1
144,61.43,0,A,0
145,202.44,0,B,0
146,456.48,0,D,1
147,422.98,1,D,1
148,187.62,1,B,0
149,333.2,1,A,1
150,475.44,0,A,1
151,353.48,0,B,1
152,268.89,0,B,0
153,258.51,0,D,0
